category,score,asset_key,path,source,used_by_count,used_by,status,reason,recommendation,searchQuery,alt,delivered_src,in_cache,cultural_markers
REPLACE,5,hash:8555282400b5f761,public/clients/elektro-kovac/services.jpg,local:public/clients/elektro-kovac/services.jpg,13,elektro-kovac; marko-cerekovic; qa-vulkanizerji-01-classic-split; qa-vulkanizerji-02-editorial-type; qa-vulkanizerji-03-photo-forward; qa-vulkanizerji-04-stats-trust; qa-vulkanizerji-05-minimal-line; qa-vulkanizerji-06-service-grid; qa-vulkanizerji-07-asymmetric-bold; qa-vulkanizerji-08-dark-pro; qa-vulkanizerji-09-warm-soft; qa-vulkanizerji-10-industrial-plain …,USED,Colored pencils wrong trade,Replace tire/key cutting,,Natančna izdelava ključev v delavnici,/clients/vulkanizerstvo-izdelava-kljucev/services.jpg,False,pencils
REPLACE,18,pexels:32588548,,https://www.pexels.com/photo/plumber-repairing-pipe-with-wrench-indoors-32588548/,13,kaplja-vodovodne-andrej; napeljava-vodovodnih-centralnih; qa-vodovodarji-ogrevanje-01-classic-split; qa-vodovodarji-ogrevanje-02-editorial-type; qa-vodovodarji-ogrevanje-03-photo-forward; qa-vodovodarji-ogrevanje-04-stats-trust; qa-vodovodarji-ogrevanje-05-minimal-line; qa-vodovodarji-ogrevanje-06-service-grid; qa-vodovodarji-ogrevanje-07-asymmetric-bold; qa-vodovodarji-ogrevanje-08-dark-pro; qa-vodovodarji-ogrevanje-09-warm-soft; qa-vodovodarji-ogrevanje-10-industrial-plain …,USED,Cyrillic ТЕХНОБЫТСЕРВИС overalls,Replace plumbing without Cyrillic,plumber working on pipes installation,Montaža vodovodnih inštalacij in sanitarne opreme,https://k1dgldwcgd9jslu2.public.blob.vercel-storage.com/clients/vodovodne-instalacije-marjan/services.avif,False,Cyrillic patch
REPLACE,20,hash:6c4ea29bfcfb03ec,public/clients/kozmeticni-salon-lila/hero.jpg,local:public/clients/kozmeticni-salon-lila/hero.jpg,11,kozmeticni-salon-lila; qa-kozmeticarji-01-classic-split; qa-kozmeticarji-02-editorial-type; qa-kozmeticarji-03-photo-forward; qa-kozmeticarji-04-stats-trust; qa-kozmeticarji-05-minimal-line; qa-kozmeticarji-06-service-grid; qa-kozmeticarji-07-asymmetric-bold; qa-kozmeticarji-08-dark-pro; qa-kozmeticarji-09-warm-soft; qa-kozmeticarji-10-industrial-plain,USED,SE-Asian head-spa setup; Vietnamese GỪNG label,Replace with EU facial/spa treatment,,Strokovna nega obraza v prijetnem ambientu kozmetičnega salona,/clients/kozmeticni-salon-lila/hero.jpg,False,Vietnamese label; head spa
REPLACE,22,hash:ef30f78dabe1795f,public/clients/keramicarstvo-mubi-igor/services.jpg,local:public/clients/keramicarstvo-mubi-igor/services.jpg,11,keramicarstvo-mubi-igor; qa-keramicarji-01-classic-split; qa-keramicarji-02-editorial-type; qa-keramicarji-03-photo-forward; qa-keramicarji-04-stats-trust; qa-keramicarji-05-minimal-line; qa-keramicarji-06-service-grid; qa-keramicarji-07-asymmetric-bold; qa-keramicarji-08-dark-pro; qa-keramicarji-09-warm-soft; qa-keramicarji-10-industrial-plain,USED,Beauty vanity English skincare for keramičarstvo,Replace with tiling,,Natančno polaganje keramike in prenova kopalnice,/clients/keramicarstvo-mubi-igor/services.jpg,False,English beauty labels
REPLACE,35,pexels:28153670,,https://www.pexels.com/photo/a-young-man-is-working-on-a-car-engine-28153670/,10,9fast-anze-soklic; avtoservis-bojan-zagar; avtoservis-celarc-crt; avtoservis-kepec-bostjan; avtoservis-stefko-stefan; elektromehanika-marko-zupancic; pirnar-stanislav-avtoservis; servis-popravilo-vozil; vzdrzevanje-popravila-motornih-2; zavorni-servis-avtomehanika,USED,Informal outdoor night garage non-EU plate cues,Indoor EU bay,auto mechanic working on car engine,Avtomehanik pri delu v sodobni delavnici,https://k1dgldwcgd9jslu2.public.blob.vercel-storage.com/clients/servis-popravilo-vozil/hero.avif,True,non-EU plate
REPLACE,28,pexels:7451918,,https://www.pexels.com/photo/wet-floor-caution-sign-placed-in-store-7451918/,9,cistilni-servis-kristalcek; cistilni-servis-luco; cistilni-servis-zeljka; cistilnica-pucelj-kamnik; ekea-alma-nuhanovic; hisnik-toni-vzdrzevanje; splosno-ciscenje-stavb; top-cistilni-servis; vzdrzevanje-objektov-mix,USED,English CAUTION + DAIRY/DELI supermarket,Cleaning without English store signs,commercial cleaning team interior,Oprema za globinsko čiščenje in urejen prostor,https://k1dgldwcgd9jslu2.public.blob.vercel-storage.com/clients/top-cistilni-servis/services.avif,False,English retail
REPLACE,35,pexels:9626877,,https://www.pexels.com/photo/a-mechanic-checking-the-engine-of-the-car-9626877/,9,avtocenter-litija-zlato; avtomehanika-koscak-primoz; avtoservis-celarc-crt; avtoservis-handa-eldin; car-repair-shop; mehanika-bodlaj-druzba; mrd-avto-mojca; pirnar-stanislav-avtoservis; servis-vozil-tadej,USED,.FR domain on mechanic uniform,Uniform without foreign domains,auto mechanic working on car engine,Oprema za diagnostiko in popravilo vozil v avtomehanični delavnici,https://k1dgldwcgd9jslu2.public.blob.vercel-storage.com/clients/servis-vozil-tadej/services.avif,True,.FR domain
REPLACE,8,hash:31a9c52ff8409bbd,public/clients/elektro-veber-tone/hero.jpg,local:public/clients/elektro-veber-tone/hero.jpg,7,elektro-veber-tone; elektro-zagar-jan; frizerstvo-erna-tesnjak; gavro-elektro-hisniske; keramicarstvo-zeljko-zeljko; marko-cerekovic; vulkanizerstvo-andrej-kaluza,USED,Barbershop stock on elektro,Replace electrical,,Električar pri delu na elektro omarici,/clients/elektro-veber-tone/hero.jpg,False,CALIFORNIA
REPLACE,35,hash:3915b81a23c3f9ce,public/clients/frizerski-salon-branka/hero.jpg,local:public/clients/frizerski-salon-branka/hero.jpg,6,frizerski-salon-branka; frizerski-salon-edita; frizerski-salon-katja-2; frizerski-salon-mojca-2; frizerski-salon-neva; frizerski-salon-renata,USED,UK Type G wall outlet in salon,Replace with SI/EU Schuko salon,,Notranjost toplega frizerskega salona z naravno svetlobo,/clients/frizerski-salon-mojca-2/hero.jpg,False,UK Type G
REPLACE,22,hash:da9499e132f96eff,public/clients/brivsko-frizerski-salon/services.jpg,local:public/clients/brivsko-frizerski-salon/services.jpg,4,brivsko-frizerski-salon; frizerski-salon-renata-2; frizerstvo-marija-marija; havajana-frizersko-lepotilni,USED,Dutch Bussum/Naarden storefront text,Replace unmarked salon,,Strokovno barvanje las in oblikovanje pričesk v prijetnem ambientu,/clients/havajana-frizersko-lepotilni/services.jpg,False,NL place names
